"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.116289120E-1,6.449207664E-3,-2.733201981E-1,1.994733810E-1
4.166592250E-1,-3.594899550E-2,-1.668391228E-1,3.081645966E-1
4.216895370E-1,-1.698569059E-1,1.691055298E-1,4.804191589E-1
4.267197980E-1,-2.317795455E-1,1.858263016E-1,3.556938171E-1
4.317501100E-1,-2.900131941E-1,1.760187149E-1,2.332367897E-1
4.367804230E-1,-3.151867390E-1,3.034811020E-1,2.119941711E-1
4.418155790E-1,-3.365037739E-1,4.533023834E-1,1.673293114E-1
4.468458390E-1,-3.212619424E-1,5.214209557E-1,7.082605362E-2
4.518762040E-1,-3.123587966E-1,5.472526550E-1,-8.223724365E-2
4.569064640E-1,-2.904203832E-1,5.292687416E-1,-3.247261047E-1
4.619367770E-1,-2.739949822E-1,5.085501671E-1,-6.418299675E-1
4.669670890E-1,-2.221645415E-1,3.599910736E-1,-9.361081123E-1
4.719943290E-1,-1.472557038E-1,1.962995529E-1,-1.224478722E0
4.770246410E-1,5.420893431E-2,-1.527295113E-1,-1.379371643E0
4.820549020E-1,1.976422668E-1,-5.122041702E-1,-1.551478863E0
4.870852140E-1,2.670595646E-1,-7.682471275E-1,-1.721835613E0
4.921155270E-1,2.091314495E-1,-7.612719536E-1,-1.757537842E0
4.971458390E-1,1.797302961E-1,-7.620906830E-1,-1.714362621E0
5.021845890E-1,2.238065600E-1,-7.164821625E-1,-1.531172276E0
5.072149020E-1,1.274744868E-1,-5.520510674E-1,-1.287028313E0
5.122452140E-1,4.416900873E-2,-3.365907669E-1,-1.043948174E0
5.172754750E-1,-2.677303553E-2,-1.181421280E-1,-7.281961441E-1
5.223057870E-1,-8.852493763E-2,9.834623337E-2,-4.349966049E-1
5.273361000E-1,-1.580863893E-1,2.678723335E-1,-1.640038490E-1
5.323556830E-1,-1.929954886E-1,3.981132507E-1,-4.061841965E-2
5.373859950E-1,-2.527999282E-1,5.371727943E-1,5.187988281E-3
5.424163080E-1,-2.468366921E-1,6.660985947E-1,1.448521614E-1
5.474465680E-1,-1.898919046E-1,7.852668762E-1,1.732592583E-1
5.524768810E-1,-1.860516667E-1,8.382720947E-1,7.683372498E-2
5.575071930E-1,-2.886114120E-1,8.495745659E-1,-6.506919861E-2
5.625555790E-1,-2.474702597E-1,1.019587040E0,-2.171068192E-1
5.675858910E-1,-6.804287434E-2,8.843016624E-1,-3.105554581E-1
5.726162040E-1,1.848020554E-1,7.191891670E-1,-3.884153366E-1
