"event","experiment time","system time","system time text"
"START",0.000000000E0,1767512237.604,"2026-01-04 09:37:17.604 UTC+02:00"
"PAUSE",3.219415753E2,1767512559.545,"2026-01-04 09:42:39.545 UTC+02:00"
